Ron Howard,6159,2,568
Michael Lembeck,15045,2,9021
Tom Hooper,70500,2,82695
Nora Ephron,9248,0,9489
Adam McKay,55710,2,12133
Martin Campbell,10702,2,9342
Todd Phillips,57130,2,41733
Angelina Jolie,11701,1,227306
Clint Eastwood,190,2,5551
Renny Harlin,16938,2,9350
John Woo,11401,2,9208
Jon Turteltaub,12962,2,4244
Oliver Stone,1152,2,1852
Mike Newell,10723,2,11820
Larry Charles,6767,2,76493
Stanley Kubrick,240,2,345
Will Gluck,82511,2,196867
Glenn Ficarra,56411,2,256591
John Requa,56412,0,256591
McG,36425,2,59962
David S. Goyer,3893,2,36648
John Milius,8328,2,1880
Mike Nichols,5342,2,9440
Paul W.S. Anderson,4014,2,71679
Paul W.S. Anderson,4014,2,10483
Renny Harlin,16938,2,11412
Taylor Hackford,18596,0,11983
Jon Favreau,15277,2,6795
David Fincher,7467,2,550
McG,36425,2,11170
Michael Lehmann,7145,2,9292
Nora Ephron,9248,0,10783
Stuart Beattie,1707,0,100241
Roman Polanski,3556,2,257
Rob Bowman,12523,2,9947
Robert Rodriguez,2294,0,189
Frank Miller,2293,2,189
Sydney Pollack,2226,2,12618
Baltasar Kormákur,67813,2,253412
Tom Tykwer,1071,2,1427
Jay Roach,6737,2,818
David Bowers,33183,2,16577
Steven Spielberg,488,2,329
Lawrence Kasdan,8844,2,12160
Phillip Noyce,13015,2,9331
Daniel Lee,57832,2,300168
Keenen Ivory Wayans,35689,2,9072
Jonathan Mostow,7213,2,3536
Rob Reiner,3026,2,9087
Marco Schnabel,71527,2,12177
Demian Lichtenstein,71418,2,12138
Quentin Tarantino,138,2,273248
Josh Gordon,60922,2,9955
Will Speck,60923,2,9955
Tim Hill,49903,2,50359
Zack Snyder,15217,2,1271
Jay Roach,6737,2,693
David Frankel,5065,2,14306
Frank Darabont,4027,2,497
Walt Becker,68573,2,11199
Mark Dindal,61411,2,9982
David Fincher,7467,2,210577
Doug Liman,11694,2,2501
Martin Campbell,10702,2,710
Simon West,12786,2,2275
Peter Weir,2690,2,37165
Simon Wells,21879,2,9837
Steve Hickner,44113,2,9837
Brenda Chapman,59803,1,9837
Steve Carr,52112,2,10708
Baltasar Kormákur,67813,2,136400
Lawrence Guterman,64191,0,10992
F. Gary Gray,37932,2,9654
Marc Lawrence,18323,2,2642
Eric Darnell,18863,2,8916
Tim Johnson,52870,2,8916
Peter Billingsley,12708,2,19899
Tony Scott,893,2,2119
Adam Shankman,20739,2,9641
Wes Ball,1179066,0,294254
Ryan Murphy,52779,2,38167
Brett Ratner,11091,2,5994
Robert Schwentke,57270,2,39514
Oliver Stone,1152,2,9563
Robert Redford,4135,2,547
Michael Mann,638,2,1538
Chuck Russell,26713,2,9334
Jay Russell,46297,2,11128
Christopher McQuarrie,9033,0,75780
Renny Harlin,16938,2,8914
Kenny Ortega,65310,2,13576
Steven Soderbergh,1884,2,39538
David McNally,48980,2,10628
Henry Selick,57646,2,14836
M. Night Shyamalan,11614,2,8645
Tony Scott,893,2,9509
Brian Robbins,53177,2,10067
Todd Phillips,57130,2,9384
Brian Levant,13581,2,9279
Guillermo del Toro,10828,2,1487
Steven Zaillian,2260,2,9422
Sam Fell,58897,2,77174
Chris Butler,154705,2,77174
Michael Caton-Jones,30365,2,4824
John Woo,11401,2,9620
Jon Avnet,18250,2,9302
Robert Stevenhagen,64152,0,10199
Sam Fell,58897,2,10199
Kevin Donovan,66654,2,10771
Geoff Murphy,32277,2,3512
Kenneth Branagh,11181,2,137094
David O. Russell,17883,2,274479
Babak Najafi,132239,2,267860
Jean-Pierre Jeunet,2419,2,8078
Antoine Fuqua,20907,2,7485
Anthony Stacchi,52691,2,170687
Graham Annable,1152981,0,170687
Griffin Dunne,2171,0,6435
Phil Lord,107446,0,137106
